Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PQ9007,Friday,2015-10-23,18:15:00,19:30:00,Surrey Female Peewee A1,North Shore Female Peewee A1,Surrey Sport & Leisure Centre Arena 3 Green,Peewee,Tier 1,Placement,Surrey Female
MQ9309,Friday,2015-10-23,18:45:00,20:00:00,Tri Cities Female Midget C1,Meadow Ridge Female Midget C1,Port Coquitlam Blue,Midget,Black Group,Balancing,Tri Cities Female
BQ9315,Friday,2015-10-23,19:45:00,21:15:00,Richmond Female Bantam C1,Vancouver Girls Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,Balancing,Richmond Female
PQ9733,Friday,2015-10-23,20:00:00,21:15:00,North Shore Female Peewee C2,Tri Cities Female Peewee C2,West Vancouver Ice Arena,Peewee,Red Group,Balancing,North Shore Female
PQ9003,Friday,2015-10-23,20:15:00,21:30:00,Tri Cities Female Peewee A1,Vancouver Girls Peewee A1,Port Coquitlam Green,Peewee,Tier 1,Placement,Tri Cities Female
MQ9707,Friday,2015-10-23,20:30:00,22:00:00,Richmond Female Midget C2,Tri Cities Female Midget C3,Minoru Arena Silver Spectrum,Midget,Red Group,Balancing,Richmond Female
MQ9719,Friday,2015-10-23,20:30:00,21:45:00,Tri Cities Female Midget C2,Western Washington Female Midget C1,Coquitlam Recreation,Midget,Red Group,Balancing,Tri Cities Female
MQ9326,Friday,2015-10-23,21:30:00,22:45:00,Surrey Female Midget C1,Langley Girls Midget C1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Black Group,Balancing,Surrey Female
PQ9721,Saturday,2015-10-24,08:30:00,09:45:00,Vancouver Girls Peewee C2,Surrey Female Peewee C1,Killarney Community Centre,Peewee,Red Group,Balancing,Vancouver Girls
PQ9704,Saturday,2015-10-24,09:30:00,10:45:00,Richmond Female Peewee C2,Abbotsford Female Peewee C1,Richmond Ice Centre Coliseum,Peewee,Red Group,Balancing,Richmond Female
BQ9005,Saturday,2015-10-24,10:00:00,11:15:00,Vancouver Girls Bantam A1,North Shore Female Bantam A1,Killarney Community Centre,Bantam,Tier 1,Placement,Vancouver Girls
AQ9204,Saturday,2015-10-24,11:15:00,12:30:00,North Shore Female Atom C2,Abbotsford Female Atom C1,Ice Sports North Shore 3 Green,Atom,Blue Group,Balancing,North Shore Female
AQ9409,Saturday,2015-10-24,11:15:00,12:30:00,Langley Girls Atom C2,Tri Cities Female Atom C2,Langley Sportsplex 4,Atom,Red Group,Balancing,Langley Girls
BQ9302,Saturday,2015-10-24,11:30:00,12:45:00,Vancouver Girls Bantam C1,Langley Girls Bantam C1,Killarney Community Centre,Bantam,Black Group,Balancing,Vancouver Girls
MQ9701,Saturday,2015-10-24,11:30:00,12:45:00,Abbotsford Female Midget C2,Western Washington Female Midget C1,Abbotsford Recreation Centre,Midget,Red Group,Balancing,Abbotsford Female
PQ9318,Saturday,2015-10-24,12:15:00,13:30:00,North Shore Winter Club Female Peewee C1,North Shore Female Peewee C1,North Shore Winter Club,Peewee,Black Group,Balancing,North Shore Winter Club
PQ9304,Saturday,2015-10-24,13:15:00,14:30:00,Richmond Female Peewee C1,South Delta Female Peewee C1,Richmond Ice Centre Pond,Peewee,Black Group,Balancing,Richmond Female
AQ9002,Saturday,2015-10-24,15:30:00,16:45:00,Surrey Female Atom C1,North Shore Female Atom C1,North Surrey Arena 2,Atom,Black Group,Balancing,Surrey Female
AQ9410,Saturday,2015-10-24,16:45:00,18:00:00,Vancouver Girls Atom C1,Meadow Ridge Female Atom C2,Trout Lake Community Centre,Atom,Red Group,Balancing,Vancouver Girls
